name;elevation;latitude;longitude;continent;country;range
Mt. Gibbs;3893;37.8771;-119.212;North America;United States;Sierra Nevada
Mount Peale;3877;38.4383;-109.229;North America;United States;Colorado Plateau
Gold Hill;3876;37.8942;-107.823;North America;United States;San Juan Mountains
Latir Peak;3873;36.803535;-105.477761;North America;United States;Sangre de Cristo Range
Sheepshead Peak;3870;35.991296;-105.645569;North America;United States;Sangre de Cristo Range
Borah Peak (Mount Borah);3859;44.1333;-113.783;North America;United States;Idaho-Bitterroot Rockies
Humphreys Peak;3851;35.3333;-111.683;North America;United States;Colorado Plateau
Santa Fe Baldy;3847;35.8322;-105.758;North America;United States;Sangre de Cristo Range
Mount Moran;3842;43.8353;-110.776;North America;United States;Teton Range - Yellowstone Area
Mount Conness;3837;37.9669;-119.32;North America;United States;Sierra Nevada
Whitetail Peak;3825;45.088913;-109.587549;North America;United States;Absaroka Range
Cerro Chirripo;3820;9.4833;-83.483;North America;Costa Rica;Costa Rica - Panama Ranges
South Teton;3814;43.7186;-110.818;North America;United States;Teton Range - Yellowstone Area
Cerro Vantisqueros;3812;9.475472;-83.509942;North America;Costa Rica;Costa Rica - Panama Ranges
East Pecos Baldy;3810;35.9;-105.65;North America;United States;
Flattop Mountain;3808;40.014732;-107.083392;North America;United States;Flat Tops Area
Hayden Peak;3804;40.7356;-110.844;North America;United States;Uinta Range
Mount Baldy;3792;36.63;-105.21333;North America;United States;
Del Norte Peak;3781;37.589866;-106.563464;North America;United States;San Juan Mountains
Lake Peak;3781;35.7964;-105.771;North America;United States;Sangre de Cristo Range
Almagre Mountain;3770;38.7914;-104.993;North America;United States;Front Range
Redonda Peak;3766;35.861916;-105.745519;North America;United States;Sangre de Cristo Range
Agassiz Peak;3766;35.3258;-111.677;North America;United States;Colorado Plateau
Cerro Terbi;3765;9.456677;-83.493506;North America;Costa Rica;Costa Rica - Panama Ranges
Mount Deborah;3761;63.6375;-147.237;North America;United States;Alaska Range
Volcan de Agua;3760;14.465;-90.743056;North America;Guatemala;Guatemala Ranges
Mount Waas;3758;38.539134;-109.227718;North America;United States;Colorado Plateau
Teewinot;3757;43.747169;-110.779987;North America;United States;Teton Range - Yellowstone Area
Mount Otis;3752;40.2922;-105.68;North America;United States;Front Range
Mount Guyot;3749;36.5089;-118.362;North America;United States;Sierra Nevada
Parkview Mountain;3748;40.3303;-106.136;North America;United States;Central Colorado Ranges
Mount Columbia;3747;52.14879;-117.436209;North America;Canada;Canadian Rockies
Clyde Minaret;3743;37.75;-119.117;North America;United States;Sierra Nevada
Mount Adams;3741;46.2028;-121.489;North America;United States;Cascade Range
Matterhorn Peak;3738;38.0933;-119.382;North America;United States;Sierra Nevada
Xitle;3734;19.207457;-99.258068;North America;Mexico;Cordillera Neovolcanica
North Peak;3731;37.9822;-119.314;North America;United States;Sierra Nevada
Mount Huntington;3730;62.9678;-150.896;North America;United States;Alaska Range
Mount Lovenia;3724;40.7569;-110.607;North America;United States;Uinta Range
Mount Rearguard;3720;45.051453;-109.525452;North America;United States;Absaroka Range
North Twin;3719;52.223961;-117.434664;North America;Canada;Canadian Rockies
Mount Hope;3719;60.7036;-141.0614;North America;United States;Wrangell Mountains
Derby Peak;3714;39.9667;-107.117;North America;United States;
Mount Delano;3710;38.3692;-112.371;North America;United States;
Crested Butte;3707;38.8833;-106.943;North America;United States;Elk Range Area
Courthouse Mountain;3704;38.135;-107.574;North America;United States;San Juan Mountains
Cerro del Potosi;3700;24.871667;-100.2325;North America;Mexico;Sierra Madre Occidental
Valhalla;3699;61.460099;-147.079468;North America;United States;Chugach Mountains
Olancha Peak;3695;36.26522;-118.11823;North America;United States;Sierra Nevada
Gunnbjorns Fjeld;3693;68.9155;-29.7956;North America;Greenland;Greenland
Ibapah;3688;39.8283;-113.919;North America;United States;Great Basin Ranges
Dome;3682;68.839983;-29.925385;North America;Greenland;
Cone;3669;68.873666;-29.937744;North America;Greenland;
Cloudveil Dome;3666;43.7189;-110.807;North America;United States;Teton Range - Yellowstone Area
Metcalf Mountain;3663;45.026061;-109.54382;North America;United States;Absaroka Range
Medicine Bow Peak;3662;41.3606;-106.317;North America;United States;Southern Wyoming Ranges
Mount Drum;3661;62.1161;-144.637778;North America;United States;Wrangell Mountains
Hyndman Peak;3660;43.7492;-114.13;North America;United States;Idaho-Bitterroot Rockies
Sierra Blanca;3659;33.6833;-106.167;North America;United States;Southwest Basins and Ranges
Mount Clemenceau;3658;52.248193;-117.958488;North America;Canada;Canadian Rockies
Silver Run Peak;3658;45.1211;-109.544;North America;United States;Absaroka Range
Fremont Peak;3648;35.3231;-111.66;North America;United States;Colorado Plateau
Bald Mountain;3640;40.699121;-110.903463;North America;United States;Uinta Range
Buck Mountain;3639;43.689226;-110.819268;North America;United States;Teton Range - Yellowstone Area
Lost Ranger Peak;3637;40.6903;-106.672;North America;United States;Central Colorado Ranges
Mount Nebo;3636;39.8217;-111.759;North America;United States;Wasatch Range
Lone Eagle Peak;3633;40.0714;-105.66;North America;United States;Front Range
Mount Charleston;3633;36.4167;-116.25;North America;United States;Great Basin Ranges
Nez Perce Peak;3627;43.719157;-110.797539;North America;United States;Teton Range - Yellowstone Area
Pingora;3622;42.7792;-109.225;North America;United States;Wind River Range
Bald Mountain;3621;37.8964;-107.846;North America;United States;San Juan Mountains
Mount Alberta;3619;52.288008;-117.476463;North America;Canada;Canadian Rockies
Mount Assiniboine;3618;50.8667;-115.65;North America;Canada;Canadian Rockies
Alberta Peak;3618;37.455841;-106.795041;North America;United States;
Mount Forbes;3612;51.860168;-116.932125;North America;Canada;Canadian Rockies
Laurel Mountain;3600;37.5803;-118.89;North America;United States;Sierra Nevada
Arc Dome;3589;38.832778;-117.353056;North America;United States;Great Basin Ranges
