name;elevation;latitude;longitude;continent;country;range
Pik Revolution;6940;38.5111;72.3542;Asia;Tajikistan;Pamir
kedarnath;6940;30.7833;79.0667;Asia;India;Garhwal Himalaya
Panchachuli;6904;30.22;80.42;Asia;India;Garhwal Himalaya
Thalay Sagar;6904;30.859861;78.995849;Asia;India;Garhwal Himalaya
Koyo Zom;6889;36.5833;73;Asia;Pakistan;Hindu Kush 
Kanjiroba;6883;29.368114;82.778549;Asia;Nepal;Western Nepal Himalaya
Nandakot;6861;30.2666;80.0666;Asia;India;Garhwal Himalaya
Ama Dablam;6856;27.861111;86.861111;Asia;Nepal;Central Nepal Himalaya
Bhagirathi;6856;30.85;79.15;Asia;India;Garhwal Himalaya
Pik Marshal Zhukov;6842;39.3167;72.8833;Asia;Tajikistan;Pamir
Kedarnath Dome;6831;30.7833;79.0667;Asia;India;Garhwal Himalaya
Leo Pargial;6816;31.901935;78.74249;Asia;India/China;Punjab Himalaya
Reo pargil;6816;31.884373;78.735624;Asia;India;
Khangri Shar;6811;28.01956;86.816025;Asia;Nepal/China;Central Nepal Himalaya
Maiktoli;6803;30.274486;79.877472;Asia;India;Garhwal Himalaya
Jichu Drake;6794;27.7025;88.150278;Asia;Bhutan/China;Bhutan Himalaya
Kangtega;6782;27.7833;86.8167;Asia;Nepal;Central Nepal Himalaya
Pik Karl Marx;6723;37.15;72.4819;Asia;Tajikistan;Pamir
Kailas;6714;31.0667;81.3167;Asia;China;Gangdisi Shanmai
Cho Polu;6695;27.919167;86.981944;Asia;Nepal;
Pandim;6691;27.5775;88.215833;Asia;India;Sikkim-Eastern Nepal Himalaya
Panwali Dwar;6663;30.2833;79.95;Asia;India;Garhwal Himalaya
Thamserku;6623;27.8617;86.8639;Asia;Nepal;Central Nepal Himalaya
Nandakhat;6611;30.301667;79.975833;Asia;India;Garhwal Himalaya
Rangrik Rang;6553;31.45;78.5167;Asia;India;Garhwal Himalaya
Shivling;6543;30.880259;79.063324;Asia;India;Garhwal Himalaya
Tawetse;6542;27.896667;86.7775;Asia;Nepal;Central Nepal Himalaya
Karyolung;6511;27.733452;86.611919;Asia;Nepal;Central Nepal Himalaya
Pik Engels;6510;37.1667;72.5222;Asia;Tajikistan;
Kartse;6507;28.0167;87;Asia;China;Central Nepal Himalaya
Singu Chuli;6501;28.587328;83.882963;Asia;Nepal;Central Nepal Himalaya
Mera Peak;6476;27.709167;86.868333;Asia;Nepal;
Cholatse;6440;27.919952;86.766071;Asia;Nepal;Central Nepal Himalaya
Langshisha Ri;6427;28.2169;85.7136;Asia;Nepal/China;Central Nepal Himalaya
Mramornaja Stena;6400;42.281881;80.267658;Asia;Kazakhstan/China;
Kalanag;6387;31.0112;78.3412;Asia;India;Garhwal Himalaya
Suitilla;6373;30.331408;80.380772;Asia;India;
Peak Chapayev;6371;42.21145;80.17479;Asia;Kyrgyzstan;
Kusum Kangguru;6367;27.730793;86.788816;Asia;Nepal;Central Nepal Himalaya
Saribung;6346;28.743333;84.025556;Asia;Nepal;Central Nepal Himalaya
Changuch;6322;30.290984;80.041051;Asia;India;Garhwal Himalaya
Banderpunch;6316;31.003016;78.553433;Asia;India;Garhwal Himalaya
Nanda Ghunti;6309;30.4666;79.7166;Asia;India;Garhwal Himalaya
Great Trango Tower;6286;35.757717;76.201014;Asia;Pakistan;Karakoram 
Amne Machin;6282;34.798333;99.4625;Asia;China;
Mentok 1;6277;32.89555;78.2254;Asia;India;
Mount Debachen;6265;32.212528;77.553862;Asia;India;Punjab Himalaya
Mayer Kangri;6262;33.4667;86;Asia;China;
Swargarohini;6252;31.1;78.5;Asia;India;Garhwal Himalaya
Laila Peak;6200;35.591645;76.410298;Asia;Pakistan;Karakoram 
Adi Kailash;6191;30.28529;80.651983;Asia;India;Garhwal Himalaya
Om Parvat;6191;30.198803;81.034704;Asia;India;Garhwal Himalaya
Mount Rubal Kang;6187;32.1044;77.6806;Asia;India;Garhwal Himalaya
Imja Tse;6183;27.9225;86.936111;Asia;Nepal;Central Nepal Himalaya
Island Peak;6180;27.921135;86.935897;Asia;Nepal;
Yuzhu Feng;6178;35.6667;94.2167;Asia;China;Kunlun
Stok Kangri;6121;33.986111;77.4425;Asia;India;
Lobuche East;6119;27.9595;86.7899;Asia;Nepal;Central Nepal Himalaya
Pisang Peak;6091;28.646667;84.185833;Asia;Nepal;Central Nepal Himalaya
Chulu (Far) East;6059;28.7311;84.0851;Asia;Nepal;Central Nepal Himalaya
Kinner Kailash;6050;31.520556;78.363611;Asia;India;
